Heartbeat from system (system 1 component 0)
GLOBAL_POSITION_INT {time_boot_ms : 2324, lat : 0, lon : 0, alt : -20, relative_alt : -25, vx : 0, vy : 0, vz : 0, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 43203, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -26, vx : -1, vy : 1, vz : 0, hdg : 35474}
GLOBAL_POSITION_INT {time_boot_ms : 43453, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -26, vx : -1, vy : 1, vz : 0, hdg : 35473}
GLOBAL_POSITION_INT {time_boot_ms : 43703, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -26, vx : -1, vy : 1, vz : 0, hdg : 35472}
GLOBAL_POSITION_INT {time_boot_ms : 43954, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -26, vx : -1, vy : 1, vz : 0, hdg : 35471}
GLOBAL_POSITION_INT {time_boot_ms : 44203, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : -26, vx : -1, vy : 1, vz : 0, hdg : 35469}
GLOBAL_POSITION_INT {time_boot_ms : 44453, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35468}
GLOBAL_POSITION_INT {time_boot_ms : 44703, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35467}
GLOBAL_POSITION_INT {time_boot_ms : 44953, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35466}
GLOBAL_POSITION_INT {time_boot_ms : 45203, lat : -353632622, lon : 1491652375, alt : 584060, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35465}
GLOBAL_POSITION_INT {time_boot_ms : 45453, lat : -353632622, lon : 1491652375, alt : 584060, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35464}
GLOBAL_POSITION_INT {time_boot_ms : 45703, lat : -353632622, lon : 1491652375, alt : 584060, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35463}
GLOBAL_POSITION_INT {time_boot_ms : 45953, lat : -353632622, lon : 1491652375, alt : 584060, relative_alt : -26, vx : -1, vy : 1, vz : 0, hdg : 35462}
GLOBAL_POSITION_INT {time_boot_ms : 46204, lat : -353632622, lon : 1491652375, alt : 584060, relative_alt : -26, vx : -1, vy : 1, vz : 0, hdg : 35461}
GLOBAL_POSITION_INT {time_boot_ms : 46453, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : -26, vx : -1, vy : 1, vz : 0, hdg : 35460}
GLOBAL_POSITION_INT {time_boot_ms : 46704, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : -1, vy : 1, vz : 0, hdg : 35460}
GLOBAL_POSITION_INT {time_boot_ms : 46954, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : -1, vy : 1, vz : 0, hdg : 35459}
GLOBAL_POSITION_INT {time_boot_ms : 47204, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : -1, vy : 1, vz : 0, hdg : 35458}
GLOBAL_POSITION_INT {time_boot_ms : 47454, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : -1, vy : 1, vz : 0, hdg : 35457}
GLOBAL_POSITION_INT {time_boot_ms : 47704, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35456}
GLOBAL_POSITION_INT {time_boot_ms : 47954, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35456}
GLOBAL_POSITION_INT {time_boot_ms : 48204, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35455}
GLOBAL_POSITION_INT {time_boot_ms : 48453, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35454}
GLOBAL_POSITION_INT {time_boot_ms : 48703, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35453}
GLOBAL_POSITION_INT {time_boot_ms : 48954, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35453}
GLOBAL_POSITION_INT {time_boot_ms : 49204, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35452}
GLOBAL_POSITION_INT {time_boot_ms : 49454, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35451}
GLOBAL_POSITION_INT {time_boot_ms : 49704, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35450}
GLOBAL_POSITION_INT {time_boot_ms : 49954, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35449}
GLOBAL_POSITION_INT {time_boot_ms : 50204, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35448}
GLOBAL_POSITION_INT {time_boot_ms : 50453, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35447}
GLOBAL_POSITION_INT {time_boot_ms : 50703, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35447}
GLOBAL_POSITION_INT {time_boot_ms : 50954, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35446}
GLOBAL_POSITION_INT {time_boot_ms : 51204, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35445}
GLOBAL_POSITION_INT {time_boot_ms : 51454, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35444}
GLOBAL_POSITION_INT {time_boot_ms : 51704, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35443}
GLOBAL_POSITION_INT {time_boot_ms : 51954, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35442}
GLOBAL_POSITION_INT {time_boot_ms : 52204, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 3, vx : 0, vy : 0, vz : 0, hdg : 35441}
GLOBAL_POSITION_INT {time_boot_ms : 52454, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 7, vx : 0, vy : 0, vz : -6, hdg : 35440}
GLOBAL_POSITION_INT {time_boot_ms : 52703, lat : -353632621, lon : 1491652375, alt : 584100, relative_alt : 41, vx : 0, vy : 1, vz : -20, hdg : 35439}
GLOBAL_POSITION_INT {time_boot_ms : 52954, lat : -353632621, lon : 1491652375, alt : 584170, relative_alt : 110, vx : 0, vy : 1, vz : -35, hdg : 35438}
GLOBAL_POSITION_INT {time_boot_ms : 53204, lat : -353632621, lon : 1491652375, alt : 584350, relative_alt : 297, vx : 0, vy : 0, vz : -117, hdg : 35437}
GLOBAL_POSITION_INT {time_boot_ms : 53454, lat : -353632621, lon : 1491652375, alt : 584650, relative_alt : 590, vx : 0, vy : 0, vz : -114, hdg : 35438}
GLOBAL_POSITION_INT {time_boot_ms : 53704, lat : -353632621, lon : 1491652375, alt : 584940, relative_alt : 889, vx : 0, vy : 0, vz : -125, hdg : 35439}
GLOBAL_POSITION_INT {time_boot_ms : 53954, lat : -353632621, lon : 1491652374, alt : 585300, relative_alt : 1248, vx : 0, vy : 0, vz : -150, hdg : 35440}
GLOBAL_POSITION_INT {time_boot_ms : 54204, lat : -353632621, lon : 1491652373, alt : 585730, relative_alt : 1670, vx : 0, vy : 0, vz : -175, hdg : 35441}
GLOBAL_POSITION_INT {time_boot_ms : 54454, lat : -353632621, lon : 1491652373, alt : 586210, relative_alt : 2154, vx : 0, vy : 0, vz : -200, hdg : 35441}
GLOBAL_POSITION_INT {time_boot_ms : 54703, lat : -353632620, lon : 1491652373, alt : 586760, relative_alt : 2707, vx : 0, vy : 0, vz : -226, hdg : 35441}
GLOBAL_POSITION_INT {time_boot_ms : 54953, lat : -353632620, lon : 1491652372, alt : 587370, relative_alt : 3313, vx : 0, vy : 1, vz : -244, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 55204, lat : -353632620, lon : 1491652372, alt : 588000, relative_alt : 3948, vx : -1, vy : 1, vz : -250, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 55454, lat : -353632620, lon : 1491652372, alt : 588640, relative_alt : 4588, vx : -1, vy : 1, vz : -250, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 55704, lat : -353632620, lon : 1491652372, alt : 589280, relative_alt : 5226, vx : -1, vy : 2, vz : -248, hdg : 35274}
GLOBAL_POSITION_INT {time_boot_ms : 55954, lat : -353632620, lon : 1491652372, alt : 589920, relative_alt : 5860, vx : -1, vy : 2, vz : -245, hdg : 35274}
GLOBAL_POSITION_INT {time_boot_ms : 56204, lat : -353632620, lon : 1491652372, alt : 590540, relative_alt : 6488, vx : -1, vy : 2, vz : -243, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 56454, lat : -353632620, lon : 1491652372, alt : 591170, relative_alt : 7111, vx : -1, vy : 2, vz : -242, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 56703, lat : -353632620, lon : 1491652372, alt : 591790, relative_alt : 7733, vx : -1, vy : 2, vz : -242, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 56953, lat : -353632620, lon : 1491652372, alt : 592410, relative_alt : 8358, vx : -1, vy : 2, vz : -242, hdg : 35268}
GLOBAL_POSITION_INT {time_boot_ms : 57204, lat : -353632620, lon : 1491652372, alt : 593040, relative_alt : 8981, vx : -1, vy : 2, vz : -242, hdg : 35267}
GLOBAL_POSITION_INT {time_boot_ms : 57454, lat : -353632620, lon : 1491652372, alt : 593660, relative_alt : 9606, vx : -1, vy : 2, vz : -242, hdg : 35268}
GLOBAL_POSITION_INT {time_boot_ms : 57704, lat : -353632620, lon : 1491652372, alt : 594290, relative_alt : 10230, vx : -1, vy : 2, vz : -242, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 57954, lat : -353632620, lon : 1491652372, alt : 594910, relative_alt : 10856, vx : -1, vy : 2, vz : -242, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 58204, lat : -353632620, lon : 1491652372, alt : 595540, relative_alt : 11481, vx : -1, vy : 2, vz : -242, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 58454, lat : -353632620, lon : 1491652373, alt : 596160, relative_alt : 12103, vx : -1, vy : 2, vz : -242, hdg : 35274}
GLOBAL_POSITION_INT {time_boot_ms : 58704, lat : -353632620, lon : 1491652373, alt : 596780, relative_alt : 12727, vx : -1, vy : 1, vz : -242, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 58953, lat : -353632620, lon : 1491652373, alt : 597410, relative_alt : 13354, vx : -1, vy : 1, vz : -242, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 59204, lat : -353632620, lon : 1491652373, alt : 598040, relative_alt : 13980, vx : -1, vy : 1, vz : -242, hdg : 35268}
GLOBAL_POSITION_INT {time_boot_ms : 59454, lat : -353632620, lon : 1491652374, alt : 598660, relative_alt : 14601, vx : -1, vy : 1, vz : -243, hdg : 35267}
GLOBAL_POSITION_INT {time_boot_ms : 59704, lat : -353632620, lon : 1491652374, alt : 599280, relative_alt : 15221, vx : -1, vy : 0, vz : -243, hdg : 35268}
GLOBAL_POSITION_INT {time_boot_ms : 59954, lat : -353632620, lon : 1491652374, alt : 599900, relative_alt : 15842, vx : -1, vy : 0, vz : -243, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 60204, lat : -353632620, lon : 1491652374, alt : 600520, relative_alt : 16464, vx : 0, vy : 0, vz : -244, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 60454, lat : -353632620, lon : 1491652374, alt : 601140, relative_alt : 17086, vx : 0, vy : 0, vz : -244, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 60704, lat : -353632620, lon : 1491652374, alt : 601760, relative_alt : 17707, vx : 0, vy : 0, vz : -244, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 60953, lat : -353632620, lon : 1491652374, alt : 602390, relative_alt : 18333, vx : 0, vy : 0, vz : -244, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 61203, lat : -353632620, lon : 1491652374, alt : 603010, relative_alt : 18957, vx : 0, vy : 0, vz : -244, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 61454, lat : -353632620, lon : 1491652374, alt : 603640, relative_alt : 19583, vx : 0, vy : 0, vz : -245, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 61704, lat : -353632620, lon : 1491652374, alt : 604260, relative_alt : 20207, vx : 0, vy : 0, vz : -245, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 61954, lat : -353632620, lon : 1491652374, alt : 604890, relative_alt : 20832, vx : 0, vy : 0, vz : -245, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 62204, lat : -353632620, lon : 1491652374, alt : 605510, relative_alt : 21456, vx : -1, vy : 1, vz : -245, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 62454, lat : -353632620, lon : 1491652374, alt : 606140, relative_alt : 22080, vx : -1, vy : 1, vz : -245, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 62704, lat : -353632620, lon : 1491652373, alt : 606760, relative_alt : 22702, vx : -1, vy : 1, vz : -245, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 62953, lat : -353632620, lon : 1491652373, alt : 607380, relative_alt : 23326, vx : -1, vy : 1, vz : -245, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 63203, lat : -353632620, lon : 1491652373, alt : 608010, relative_alt : 23954, vx : -1, vy : 1, vz : -245, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 63454, lat : -353632620, lon : 1491652373, alt : 608640, relative_alt : 24583, vx : -1, vy : 1, vz : -245, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 63704, lat : -353632620, lon : 1491652372, alt : 609260, relative_alt : 25209, vx : -1, vy : 2, vz : -245, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 63954, lat : -353632620, lon : 1491652372, alt : 609890, relative_alt : 25834, vx : -1, vy : 2, vz : -245, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 64204, lat : -353632620, lon : 1491652372, alt : 610510, relative_alt : 26456, vx : -1, vy : 2, vz : -245, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 64454, lat : -353632620, lon : 1491652372, alt : 611130, relative_alt : 27077, vx : -1, vy : 2, vz : -245, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 64704, lat : -353632620, lon : 1491652372, alt : 611750, relative_alt : 27697, vx : -1, vy : 2, vz : -245, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 64954, lat : -353632620, lon : 1491652372, alt : 612370, relative_alt : 28319, vx : -1, vy : 2, vz : -245, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 65203, lat : -353632620, lon : 1491652372, alt : 613000, relative_alt : 28944, vx : -1, vy : 2, vz : -245, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 65454, lat : -353632620, lon : 1491652372, alt : 613620, relative_alt : 29568, vx : -1, vy : 2, vz : -246, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 65704, lat : -353632620, lon : 1491652372, alt : 614250, relative_alt : 30192, vx : -1, vy : 2, vz : -246, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 65954, lat : -353632620, lon : 1491652372, alt : 614870, relative_alt : 30817, vx : -1, vy : 2, vz : -246, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 66204, lat : -353632620, lon : 1491652372, alt : 615500, relative_alt : 31441, vx : -1, vy : 2, vz : -246, hdg : 35268}
GLOBAL_POSITION_INT {time_boot_ms : 66454, lat : -353632620, lon : 1491652372, alt : 616120, relative_alt : 32066, vx : -1, vy : 2, vz : -246, hdg : 35268}
GLOBAL_POSITION_INT {time_boot_ms : 66704, lat : -353632620, lon : 1491652372, alt : 616750, relative_alt : 32690, vx : -1, vy : 2, vz : -246, hdg : 35267}
GLOBAL_POSITION_INT {time_boot_ms : 66954, lat : -353632620, lon : 1491652372, alt : 617370, relative_alt : 33314, vx : -1, vy : 2, vz : -246, hdg : 35268}
GLOBAL_POSITION_INT {time_boot_ms : 67203, lat : -353632620, lon : 1491652372, alt : 618000, relative_alt : 33940, vx : -2, vy : 2, vz : -246, hdg : 35268}
GLOBAL_POSITION_INT {time_boot_ms : 67453, lat : -353632620, lon : 1491652372, alt : 618610, relative_alt : 34559, vx : -2, vy : 2, vz : -240, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 67704, lat : -353632619, lon : 1491652372, alt : 619210, relative_alt : 35158, vx : -2, vy : 2, vz : -230, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 67954, lat : -353632619, lon : 1491652372, alt : 619780, relative_alt : 35728, vx : -2, vy : 2, vz : -216, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 68204, lat : -353632619, lon : 1491652372, alt : 620320, relative_alt : 36262, vx : -2, vy : 2, vz : -202, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 68454, lat : -353632619, lon : 1491652372, alt : 620810, relative_alt : 36758, vx : -2, vy : 2, vz : -187, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 68704, lat : -353632619, lon : 1491652372, alt : 621270, relative_alt : 37218, vx : -2, vy : 2, vz : -173, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 68954, lat : -353632619, lon : 1491652372, alt : 621700, relative_alt : 37642, vx : -2, vy : 2, vz : -160, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 69203, lat : -353632619, lon : 1491652372, alt : 622090, relative_alt : 38032, vx : -2, vy : 2, vz : -147, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 69453, lat : -353632620, lon : 1491652373, alt : 622440, relative_alt : 38389, vx : -2, vy : 2, vz : -134, hdg : 35268}
GLOBAL_POSITION_INT {time_boot_ms : 69704, lat : -353632620, lon : 1491652373, alt : 622770, relative_alt : 38712, vx : -2, vy : 1, vz : -120, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 69954, lat : -353632620, lon : 1491652373, alt : 623060, relative_alt : 39000, vx : -1, vy : 1, vz : -107, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 70204, lat : -353632620, lon : 1491652373, alt : 623310, relative_alt : 39253, vx : -1, vy : 1, vz : -94, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 70454, lat : -353632620, lon : 1491652373, alt : 623530, relative_alt : 39471, vx : -1, vy : 1, vz : -81, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 70704, lat : -353632620, lon : 1491652373, alt : 623710, relative_alt : 39655, vx : -1, vy : 1, vz : -67, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 70954, lat : -353632620, lon : 1491652373, alt : 623860, relative_alt : 39803, vx : -1, vy : 1, vz : -53, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 71204, lat : -353632620, lon : 1491652373, alt : 623970, relative_alt : 39913, vx : -1, vy : 1, vz : -37, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 71453, lat : -353632620, lon : 1491652373, alt : 624040, relative_alt : 39982, vx : -1, vy : 1, vz : -20, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 71704, lat : -353632620, lon : 1491652373, alt : 624060, relative_alt : 40008, vx : -1, vy : 1, vz : -5, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 71954, lat : -353632620, lon : 1491652373, alt : 624060, relative_alt : 40004, vx : -1, vy : 1, vz : 2, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 72204, lat : -353632620, lon : 1491652373, alt : 624040, relative_alt : 39987, vx : -1, vy : 1, vz : 4, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 72454, lat : -353632620, lon : 1491652373, alt : 624020, relative_alt : 39969, vx : -1, vy : 1, vz : 3, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 72704, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39957, vx : -1, vy : 1, vz : 0, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 72954, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39951, vx : -1, vy : 1, vz : -2, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 73204, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39951, vx : -1, vy : 1, vz : -3, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 73453, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39951, vx : -1, vy : 1, vz : -4, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 73703, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39950, vx : -1, vy : 1, vz : -4, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 73954, lat : -353632620, lon : 1491652373, alt : 624000, relative_alt : 39949, vx : -1, vy : 1, vz : -4, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 74204, lat : -353632620, lon : 1491652373, alt : 624000, relative_alt : 39949, vx : -1, vy : 1, vz : -4, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 74454, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39955, vx : 3, vy : 5, vz : -12, hdg : 35263}
GLOBAL_POSITION_INT {time_boot_ms : 74704, lat : -353632617, lon : 1491652377, alt : 624060, relative_alt : 40005, vx : 31, vy : 30, vz : -36, hdg : 35200}
GLOBAL_POSITION_INT {time_boot_ms : 74954, lat : -353632604, lon : 1491652391, alt : 624180, relative_alt : 40122, vx : 83, vy : 76, vz : -65, hdg : 35234}
GLOBAL_POSITION_INT {time_boot_ms : 75204, lat : -353632579, lon : 1491652417, alt : 624370, relative_alt : 40312, vx : 134, vy : 121, vz : -94, hdg : 35900}
GLOBAL_POSITION_INT {time_boot_ms : 75453, lat : -353632543, lon : 1491652455, alt : 624630, relative_alt : 40575, vx : 181, vy : 162, vz : -121, hdg : 1335}
GLOBAL_POSITION_INT {time_boot_ms : 75703, lat : -353632497, lon : 1491652505, alt : 624960, relative_alt : 40908, vx : 225, vy : 203, vz : -147, hdg : 3344}
GLOBAL_POSITION_INT {time_boot_ms : 75954, lat : -353632442, lon : 1491652565, alt : 625360, relative_alt : 41306, vx : 269, vy : 242, vz : -172, hdg : 5236}
GLOBAL_POSITION_INT {time_boot_ms : 76204, lat : -353632376, lon : 1491652636, alt : 625820, relative_alt : 41764, vx : 314, vy : 281, vz : -196, hdg : 6323}
GLOBAL_POSITION_INT {time_boot_ms : 76454, lat : -353632301, lon : 1491652718, alt : 626340, relative_alt : 42284, vx : 359, vy : 320, vz : -220, hdg : 6498}
GLOBAL_POSITION_INT {time_boot_ms : 76704, lat : -353632216, lon : 1491652811, alt : 626920, relative_alt : 42866, vx : 403, vy : 358, vz : -242, hdg : 5977}
GLOBAL_POSITION_INT {time_boot_ms : 76954, lat : -353632121, lon : 1491652914, alt : 627550, relative_alt : 43491, vx : 445, vy : 394, vz : -253, hdg : 5038}
GLOBAL_POSITION_INT {time_boot_ms : 77204, lat : -353632018, lon : 1491653026, alt : 628190, relative_alt : 44134, vx : 472, vy : 419, vz : -256, hdg : 4017}
GLOBAL_POSITION_INT {time_boot_ms : 77454, lat : -353631910, lon : 1491653143, alt : 628840, relative_alt : 44782, vx : 485, vy : 434, vz : -255, hdg : 3288}
GLOBAL_POSITION_INT {time_boot_ms : 77703, lat : -353631800, lon : 1491653264, alt : 629480, relative_alt : 45427, vx : 494, vy : 445, vz : -252, hdg : 3043}
GLOBAL_POSITION_INT {time_boot_ms : 77954, lat : -353631688, lon : 1491653388, alt : 630120, relative_alt : 46065, vx : 502, vy : 452, vz : -249, hdg : 3245}
GLOBAL_POSITION_INT {time_boot_ms : 78204, lat : -353631574, lon : 1491653514, alt : 630750, relative_alt : 46697, vx : 510, vy : 458, vz : -247, hdg : 3729}
GLOBAL_POSITION_INT {time_boot_ms : 78454, lat : -353631458, lon : 1491653640, alt : 631380, relative_alt : 47326, vx : 519, vy : 461, vz : -245, hdg : 4272}
GLOBAL_POSITION_INT {time_boot_ms : 78704, lat : -353631340, lon : 1491653768, alt : 632010, relative_alt : 47952, vx : 527, vy : 465, vz : -244, hdg : 4652}
GLOBAL_POSITION_INT {time_boot_ms : 78954, lat : -353631220, lon : 1491653897, alt : 632630, relative_alt : 48578, vx : 535, vy : 468, vz : -244, hdg : 4756}
GLOBAL_POSITION_INT {time_boot_ms : 79204, lat : -353631099, lon : 1491654027, alt : 633260, relative_alt : 49203, vx : 540, vy : 472, vz : -244, hdg : 4601}
GLOBAL_POSITION_INT {time_boot_ms : 79454, lat : -353630977, lon : 1491654158, alt : 633880, relative_alt : 49826, vx : 543, vy : 475, vz : -244, hdg : 4305}
GLOBAL_POSITION_INT {time_boot_ms : 79703, lat : -353630854, lon : 1491654290, alt : 634510, relative_alt : 50454, vx : 545, vy : 479, vz : -244, hdg : 4010}
GLOBAL_POSITION_INT {time_boot_ms : 79953, lat : -353630731, lon : 1491654423, alt : 635140, relative_alt : 51081, vx : 545, vy : 482, vz : -244, hdg : 3833}
GLOBAL_POSITION_INT {time_boot_ms : 80204, lat : -353630608, lon : 1491654557, alt : 635760, relative_alt : 51708, vx : 545, vy : 484, vz : -244, hdg : 3818}
GLOBAL_POSITION_INT {time_boot_ms : 80454, lat : -353630486, lon : 1491654690, alt : 636390, relative_alt : 52331, vx : 545, vy : 485, vz : -244, hdg : 3936}
GLOBAL_POSITION_INT {time_boot_ms : 80704, lat : -353630363, lon : 1491654823, alt : 637010, relative_alt : 52953, vx : 546, vy : 484, vz : -244, hdg : 4110}
GLOBAL_POSITION_INT {time_boot_ms : 80954, lat : -353630240, lon : 1491654957, alt : 637630, relative_alt : 53577, vx : 546, vy : 483, vz : -244, hdg : 4262}
GLOBAL_POSITION_INT {time_boot_ms : 81204, lat : -353630118, lon : 1491655090, alt : 638260, relative_alt : 54200, vx : 546, vy : 481, vz : -244, hdg : 4337}
GLOBAL_POSITION_INT {time_boot_ms : 81454, lat : -353629995, lon : 1491655222, alt : 638880, relative_alt : 54821, vx : 545, vy : 480, vz : -244, hdg : 4322}
GLOBAL_POSITION_INT {time_boot_ms : 81703, lat : -353629873, lon : 1491655354, alt : 639500, relative_alt : 55446, vx : 544, vy : 479, vz : -244, hdg : 4242}
GLOBAL_POSITION_INT {time_boot_ms : 81953, lat : -353629750, lon : 1491655487, alt : 640130, relative_alt : 56074, vx : 542, vy : 478, vz : -244, hdg : 4141}
GLOBAL_POSITION_INT {time_boot_ms : 82204, lat : -353629628, lon : 1491655620, alt : 640760, relative_alt : 56701, vx : 540, vy : 478, vz : -244, hdg : 4064}
GLOBAL_POSITION_INT {time_boot_ms : 82454, lat : -353629506, lon : 1491655752, alt : 641380, relative_alt : 57326, vx : 539, vy : 477, vz : -244, hdg : 4036}
