Heartbeat from system (system 1 component 0)
GLOBAL_POSITION_INT {time_boot_ms : 2297, lat : 0, lon : 0, alt : 0, relative_alt : 0, vx : 0, vy : 0, vz : 0, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 43194, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -24, vx : -1, vy : 1, vz : 0, hdg : 35469}
GLOBAL_POSITION_INT {time_boot_ms : 43444, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -24, vx : -1, vy : 1, vz : 0, hdg : 35468}
GLOBAL_POSITION_INT {time_boot_ms : 43694, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -24, vx : -1, vy : 1, vz : 0, hdg : 35467}
GLOBAL_POSITION_INT {time_boot_ms : 43944, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -24, vx : -1, vy : 1, vz : 0, hdg : 35466}
GLOBAL_POSITION_INT {time_boot_ms : 44194, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : -24, vx : -1, vy : 1, vz : 0, hdg : 35464}
GLOBAL_POSITION_INT {time_boot_ms : 44444, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35463}
GLOBAL_POSITION_INT {time_boot_ms : 44694, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35462}
GLOBAL_POSITION_INT {time_boot_ms : 44944, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35461}
GLOBAL_POSITION_INT {time_boot_ms : 45194, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35460}
GLOBAL_POSITION_INT {time_boot_ms : 45444, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : -25, vx : -1, vy : 2, vz : 0, hdg : 35459}
GLOBAL_POSITION_INT {time_boot_ms : 45694, lat : -353632622, lon : 1491652375, alt : 584060, relative_alt : -25, vx : -1, vy : 2, vz : 0, hdg : 35458}
GLOBAL_POSITION_INT {time_boot_ms : 45944, lat : -353632622, lon : 1491652375, alt : 584060, relative_alt : -25, vx : -1, vy : 2, vz : 0, hdg : 35457}
GLOBAL_POSITION_INT {time_boot_ms : 46194, lat : -353632622, lon : 1491652375, alt : 584060, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35456}
GLOBAL_POSITION_INT {time_boot_ms : 46445, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 4, vx : -1, vy : 1, vz : 0, hdg : 35456}
GLOBAL_POSITION_INT {time_boot_ms : 46695, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 4, vx : -1, vy : 1, vz : 0, hdg : 35455}
GLOBAL_POSITION_INT {time_boot_ms : 46945, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 4, vx : -1, vy : 1, vz : 0, hdg : 35454}
GLOBAL_POSITION_INT {time_boot_ms : 47195, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 4, vx : 0, vy : 1, vz : 0, hdg : 35453}
GLOBAL_POSITION_INT {time_boot_ms : 47445, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 4, vx : 0, vy : 0, vz : 0, hdg : 35453}
GLOBAL_POSITION_INT {time_boot_ms : 47695, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 4, vx : 0, vy : 0, vz : 0, hdg : 35452}
GLOBAL_POSITION_INT {time_boot_ms : 47944, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 4, vx : 0, vy : 0, vz : 0, hdg : 35451}
GLOBAL_POSITION_INT {time_boot_ms : 48194, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 4, vx : 0, vy : 0, vz : 0, hdg : 35450}
GLOBAL_POSITION_INT {time_boot_ms : 48445, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 4, vx : 0, vy : 0, vz : 0, hdg : 35449}
GLOBAL_POSITION_INT {time_boot_ms : 48695, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 4, vx : 0, vy : 0, vz : 0, hdg : 35448}
GLOBAL_POSITION_INT {time_boot_ms : 48945, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 4, vx : 0, vy : 0, vz : 0, hdg : 35448}
GLOBAL_POSITION_INT {time_boot_ms : 49195, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 4, vx : 0, vy : 0, vz : 0, hdg : 35447}
GLOBAL_POSITION_INT {time_boot_ms : 49445, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 4, vx : 0, vy : 0, vz : 0, hdg : 35446}
GLOBAL_POSITION_INT {time_boot_ms : 49695, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 4, vx : 0, vy : 0, vz : 0, hdg : 35445}
GLOBAL_POSITION_INT {time_boot_ms : 49945, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 4, vx : 0, vy : 0, vz : 0, hdg : 35444}
GLOBAL_POSITION_INT {time_boot_ms : 50194, lat : -353632621, lon : 1491652375, alt : 584060, relative_alt : 4, vx : 0, vy : 0, vz : 0, hdg : 35443}
GLOBAL_POSITION_INT {time_boot_ms : 50445, lat : -353632621, lon : 1491652375, alt : 584070, relative_alt : 18, vx : 0, vy : 0, vz : -12, hdg : 35442}
GLOBAL_POSITION_INT {time_boot_ms : 50695, lat : -353632621, lon : 1491652375, alt : 584120, relative_alt : 66, vx : 0, vy : 0, vz : -25, hdg : 35441}
GLOBAL_POSITION_INT {time_boot_ms : 50945, lat : -353632621, lon : 1491652375, alt : 584210, relative_alt : 154, vx : 0, vy : 0, vz : -61, hdg : 35440}
GLOBAL_POSITION_INT {time_boot_ms : 51195, lat : -353632621, lon : 1491652375, alt : 584480, relative_alt : 428, vx : 0, vy : 0, vz : -122, hdg : 35440}
GLOBAL_POSITION_INT {time_boot_ms : 51445, lat : -353632621, lon : 1491652375, alt : 584770, relative_alt : 713, vx : 0, vy : 0, vz : -114, hdg : 35441}
GLOBAL_POSITION_INT {time_boot_ms : 51695, lat : -353632621, lon : 1491652374, alt : 585080, relative_alt : 1026, vx : 0, vy : 0, vz : -134, hdg : 35441}
GLOBAL_POSITION_INT {time_boot_ms : 51945, lat : -353632621, lon : 1491652374, alt : 585460, relative_alt : 1405, vx : 0, vy : 0, vz : -159, hdg : 35442}
GLOBAL_POSITION_INT {time_boot_ms : 52194, lat : -353632621, lon : 1491652374, alt : 585900, relative_alt : 1847, vx : 0, vy : 0, vz : -185, hdg : 35443}
GLOBAL_POSITION_INT {time_boot_ms : 52444, lat : -353632621, lon : 1491652373, alt : 586410, relative_alt : 2355, vx : 0, vy : 0, vz : -211, hdg : 35443}
GLOBAL_POSITION_INT {time_boot_ms : 52695, lat : -353632621, lon : 1491652373, alt : 586990, relative_alt : 2931, vx : 0, vy : 0, vz : -236, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 52945, lat : -353632620, lon : 1491652373, alt : 587610, relative_alt : 3553, vx : 0, vy : 0, vz : -248, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 53195, lat : -353632620, lon : 1491652372, alt : 588250, relative_alt : 4192, vx : 0, vy : 0, vz : -251, hdg : 35275}
GLOBAL_POSITION_INT {time_boot_ms : 53445, lat : -353632620, lon : 1491652372, alt : 588890, relative_alt : 4837, vx : 0, vy : 1, vz : -250, hdg : 35277}
GLOBAL_POSITION_INT {time_boot_ms : 53695, lat : -353632620, lon : 1491652372, alt : 589530, relative_alt : 5476, vx : 0, vy : 1, vz : -247, hdg : 35277}
GLOBAL_POSITION_INT {time_boot_ms : 53945, lat : -353632620, lon : 1491652372, alt : 590160, relative_alt : 6108, vx : -1, vy : 1, vz : -244, hdg : 35276}
GLOBAL_POSITION_INT {time_boot_ms : 54194, lat : -353632620, lon : 1491652372, alt : 590790, relative_alt : 6735, vx : -1, vy : 1, vz : -243, hdg : 35274}
GLOBAL_POSITION_INT {time_boot_ms : 54444, lat : -353632620, lon : 1491652372, alt : 591410, relative_alt : 7358, vx : -1, vy : 1, vz : -242, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 54695, lat : -353632620, lon : 1491652372, alt : 592040, relative_alt : 7983, vx : -1, vy : 1, vz : -242, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 54945, lat : -353632620, lon : 1491652372, alt : 592660, relative_alt : 8604, vx : -1, vy : 1, vz : -242, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 55195, lat : -353632620, lon : 1491652372, alt : 593280, relative_alt : 9224, vx : -1, vy : 1, vz : -242, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 55445, lat : -353632620, lon : 1491652372, alt : 593900, relative_alt : 9846, vx : -1, vy : 1, vz : -242, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 55695, lat : -353632620, lon : 1491652372, alt : 594530, relative_alt : 10471, vx : -1, vy : 1, vz : -242, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 55945, lat : -353632620, lon : 1491652372, alt : 595150, relative_alt : 11095, vx : -1, vy : 1, vz : -243, hdg : 35274}
GLOBAL_POSITION_INT {time_boot_ms : 56195, lat : -353632620, lon : 1491652372, alt : 595770, relative_alt : 11718, vx : -1, vy : 1, vz : -243, hdg : 35274}
GLOBAL_POSITION_INT {time_boot_ms : 56444, lat : -353632620, lon : 1491652372, alt : 596400, relative_alt : 12342, vx : -1, vy : 1, vz : -243, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 56695, lat : -353632620, lon : 1491652372, alt : 597020, relative_alt : 12967, vx : -1, vy : 1, vz : -243, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 56945, lat : -353632620, lon : 1491652372, alt : 597650, relative_alt : 13593, vx : -1, vy : 1, vz : -243, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 57195, lat : -353632620, lon : 1491652373, alt : 598270, relative_alt : 14216, vx : -1, vy : 1, vz : -243, hdg : 35274}
GLOBAL_POSITION_INT {time_boot_ms : 57445, lat : -353632620, lon : 1491652373, alt : 598900, relative_alt : 14842, vx : -1, vy : 1, vz : -243, hdg : 35275}
GLOBAL_POSITION_INT {time_boot_ms : 57695, lat : -353632620, lon : 1491652373, alt : 599520, relative_alt : 15469, vx : -1, vy : 1, vz : -243, hdg : 35275}
GLOBAL_POSITION_INT {time_boot_ms : 57945, lat : -353632620, lon : 1491652373, alt : 600150, relative_alt : 16094, vx : -1, vy : 0, vz : -243, hdg : 35275}
GLOBAL_POSITION_INT {time_boot_ms : 58195, lat : -353632620, lon : 1491652373, alt : 600770, relative_alt : 16717, vx : -1, vy : 0, vz : -243, hdg : 35274}
GLOBAL_POSITION_INT {time_boot_ms : 58444, lat : -353632620, lon : 1491652373, alt : 601400, relative_alt : 17341, vx : -1, vy : 0, vz : -243, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 58694, lat : -353632620, lon : 1491652373, alt : 602020, relative_alt : 17964, vx : -1, vy : 0, vz : -243, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 58945, lat : -353632620, lon : 1491652373, alt : 602640, relative_alt : 18589, vx : 0, vy : 0, vz : -243, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 59195, lat : -353632620, lon : 1491652373, alt : 603270, relative_alt : 19212, vx : 0, vy : 0, vz : -243, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 59445, lat : -353632620, lon : 1491652373, alt : 603890, relative_alt : 19834, vx : 0, vy : 0, vz : -244, hdg : 35274}
GLOBAL_POSITION_INT {time_boot_ms : 59695, lat : -353632620, lon : 1491652373, alt : 604510, relative_alt : 20459, vx : 0, vy : 0, vz : -244, hdg : 35275}
GLOBAL_POSITION_INT {time_boot_ms : 59945, lat : -353632620, lon : 1491652373, alt : 605140, relative_alt : 21083, vx : 0, vy : 1, vz : -244, hdg : 35274}
GLOBAL_POSITION_INT {time_boot_ms : 60195, lat : -353632620, lon : 1491652373, alt : 605760, relative_alt : 21706, vx : 0, vy : 1, vz : -244, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 60444, lat : -353632620, lon : 1491652372, alt : 606380, relative_alt : 22328, vx : 0, vy : 1, vz : -244, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 60694, lat : -353632620, lon : 1491652372, alt : 607010, relative_alt : 22952, vx : 0, vy : 1, vz : -244, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 60945, lat : -353632620, lon : 1491652372, alt : 607630, relative_alt : 23577, vx : -1, vy : 1, vz : -244, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 61195, lat : -353632620, lon : 1491652372, alt : 608250, relative_alt : 24198, vx : -1, vy : 2, vz : -245, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 61445, lat : -353632620, lon : 1491652372, alt : 608870, relative_alt : 24815, vx : -1, vy : 2, vz : -245, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 61695, lat : -353632620, lon : 1491652372, alt : 609490, relative_alt : 25437, vx : -1, vy : 2, vz : -246, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 61945, lat : -353632620, lon : 1491652372, alt : 610120, relative_alt : 26061, vx : -1, vy : 2, vz : -246, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 62195, lat : -353632620, lon : 1491652372, alt : 610740, relative_alt : 26684, vx : -1, vy : 2, vz : -246, hdg : 35274}
GLOBAL_POSITION_INT {time_boot_ms : 62445, lat : -353632620, lon : 1491652372, alt : 611360, relative_alt : 27307, vx : -1, vy : 2, vz : -246, hdg : 35275}
GLOBAL_POSITION_INT {time_boot_ms : 62694, lat : -353632619, lon : 1491652372, alt : 611990, relative_alt : 27931, vx : -1, vy : 2, vz : -246, hdg : 35276}
GLOBAL_POSITION_INT {time_boot_ms : 62945, lat : -353632619, lon : 1491652372, alt : 612610, relative_alt : 28557, vx : -2, vy : 2, vz : -246, hdg : 35276}
GLOBAL_POSITION_INT {time_boot_ms : 63195, lat : -353632619, lon : 1491652372, alt : 613240, relative_alt : 29182, vx : -2, vy : 2, vz : -247, hdg : 35276}
GLOBAL_POSITION_INT {time_boot_ms : 63445, lat : -353632619, lon : 1491652372, alt : 613860, relative_alt : 29804, vx : -2, vy : 2, vz : -247, hdg : 35276}
GLOBAL_POSITION_INT {time_boot_ms : 63695, lat : -353632619, lon : 1491652372, alt : 614480, relative_alt : 30429, vx : -2, vy : 2, vz : -247, hdg : 35276}
GLOBAL_POSITION_INT {time_boot_ms : 63945, lat : -353632619, lon : 1491652372, alt : 615110, relative_alt : 31057, vx : -2, vy : 2, vz : -247, hdg : 35276}
GLOBAL_POSITION_INT {time_boot_ms : 64195, lat : -353632619, lon : 1491652372, alt : 615740, relative_alt : 31682, vx : -2, vy : 2, vz : -246, hdg : 35275}
GLOBAL_POSITION_INT {time_boot_ms : 64445, lat : -353632619, lon : 1491652372, alt : 616360, relative_alt : 32306, vx : -2, vy : 2, vz : -246, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 64694, lat : -353632619, lon : 1491652372, alt : 616990, relative_alt : 32931, vx : -2, vy : 2, vz : -246, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 64944, lat : -353632619, lon : 1491652372, alt : 617610, relative_alt : 33555, vx : -2, vy : 2, vz : -246, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 65195, lat : -353632619, lon : 1491652372, alt : 618240, relative_alt : 34182, vx : -2, vy : 2, vz : -245, hdg : 35269}
GLOBAL_POSITION_INT {time_boot_ms : 65445, lat : -353632619, lon : 1491652372, alt : 618850, relative_alt : 34793, vx : -2, vy : 2, vz : -237, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 65695, lat : -353632619, lon : 1491652372, alt : 619430, relative_alt : 35378, vx : -2, vy : 2, vz : -225, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 65945, lat : -353632619, lon : 1491652372, alt : 619990, relative_alt : 35934, vx : -2, vy : 2, vz : -211, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 66195, lat : -353632619, lon : 1491652372, alt : 620510, relative_alt : 36453, vx : -1, vy : 2, vz : -197, hdg : 35274}
GLOBAL_POSITION_INT {time_boot_ms : 66445, lat : -353632619, lon : 1491652372, alt : 620990, relative_alt : 36934, vx : -1, vy : 2, vz : -183, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 66694, lat : -353632619, lon : 1491652372, alt : 621440, relative_alt : 37380, vx : -1, vy : 2, vz : -169, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 66944, lat : -353632619, lon : 1491652372, alt : 621850, relative_alt : 37792, vx : -1, vy : 2, vz : -155, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 67195, lat : -353632619, lon : 1491652372, alt : 622230, relative_alt : 38171, vx : -1, vy : 2, vz : -142, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 67445, lat : -353632619, lon : 1491652372, alt : 622570, relative_alt : 38514, vx : -1, vy : 2, vz : -129, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 67695, lat : -353632620, lon : 1491652372, alt : 622880, relative_alt : 38823, vx : -1, vy : 2, vz : -116, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 67945, lat : -353632620, lon : 1491652372, alt : 623150, relative_alt : 39099, vx : -1, vy : 2, vz : -103, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 68195, lat : -353632620, lon : 1491652372, alt : 623400, relative_alt : 39341, vx : -1, vy : 1, vz : -89, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 68445, lat : -353632620, lon : 1491652372, alt : 623600, relative_alt : 39547, vx : -1, vy : 1, vz : -76, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 68695, lat : -353632620, lon : 1491652372, alt : 623770, relative_alt : 39719, vx : -1, vy : 1, vz : -62, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 68944, lat : -353632620, lon : 1491652372, alt : 623910, relative_alt : 39853, vx : -1, vy : 1, vz : -47, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 69195, lat : -353632620, lon : 1491652372, alt : 624000, relative_alt : 39948, vx : -1, vy : 1, vz : -31, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 69445, lat : -353632620, lon : 1491652372, alt : 624050, relative_alt : 39998, vx : -1, vy : 1, vz : -13, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 69695, lat : -353632620, lon : 1491652372, alt : 624070, relative_alt : 40010, vx : -1, vy : 1, vz : -1, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 69945, lat : -353632620, lon : 1491652372, alt : 624050, relative_alt : 39998, vx : -1, vy : 1, vz : 4, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 70195, lat : -353632620, lon : 1491652372, alt : 624030, relative_alt : 39979, vx : -1, vy : 1, vz : 4, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 70445, lat : -353632620, lon : 1491652372, alt : 624020, relative_alt : 39963, vx : -1, vy : 1, vz : 1, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 70695, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39954, vx : -1, vy : 1, vz : -1, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 70944, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39951, vx : -1, vy : 1, vz : -3, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 71194, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39951, vx : -1, vy : 1, vz : -4, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 71445, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39951, vx : -1, vy : 1, vz : -4, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 71695, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39950, vx : -1, vy : 1, vz : -4, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 71945, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39950, vx : -1, vy : 1, vz : -4, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 72195, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39950, vx : -1, vy : 1, vz : -4, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 72445, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39951, vx : -1, vy : 1, vz : -4, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 72695, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39952, vx : -1, vy : 1, vz : -4, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 72944, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39954, vx : -1, vy : 1, vz : -4, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 73194, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39956, vx : -1, vy : 1, vz : -4, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 73445, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39957, vx : -1, vy : 1, vz : -4, hdg : 35274}
GLOBAL_POSITION_INT {time_boot_ms : 73695, lat : -353632620, lon : 1491652373, alt : 624010, relative_alt : 39958, vx : -1, vy : 1, vz : -4, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 73945, lat : -353632620, lon : 1491652373, alt : 624020, relative_alt : 39960, vx : -1, vy : 1, vz : -3, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 74195, lat : -353632620, lon : 1491652373, alt : 624020, relative_alt : 39962, vx : -1, vy : 1, vz : -3, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 74445, lat : -353632620, lon : 1491652373, alt : 624020, relative_alt : 39963, vx : -1, vy : 1, vz : -3, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 74695, lat : -353632620, lon : 1491652373, alt : 624020, relative_alt : 39964, vx : -1, vy : 1, vz : -3, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 74945, lat : -353632620, lon : 1491652373, alt : 624020, relative_alt : 39966, vx : -1, vy : 1, vz : -3, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 75194, lat : -353632620, lon : 1491652373, alt : 624020, relative_alt : 39968, vx : -1, vy : 1, vz : -3, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 75445, lat : -353632620, lon : 1491652373, alt : 624020, relative_alt : 39969, vx : -1, vy : 1, vz : -3, hdg : 35271}
GLOBAL_POSITION_INT {time_boot_ms : 75695, lat : -353632620, lon : 1491652373, alt : 624030, relative_alt : 39971, vx : -1, vy : 1, vz : -2, hdg : 35270}
GLOBAL_POSITION_INT {time_boot_ms : 75945, lat : -353632620, lon : 1491652373, alt : 624030, relative_alt : 39973, vx : -1, vy : 1, vz : -2, hdg : 35272}
GLOBAL_POSITION_INT {time_boot_ms : 76195, lat : -353632620, lon : 1491652373, alt : 624030, relative_alt : 39974, vx : -1, vy : 1, vz : -2, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 76445, lat : -353632620, lon : 1491652373, alt : 624030, relative_alt : 39975, vx : -1, vy : 1, vz : -2, hdg : 35273}
GLOBAL_POSITION_INT {time_boot_ms : 76695, lat : -353632620, lon : 1491652373, alt : 624040, relative_alt : 39981, vx : 2, vy : 5, vz : -10, hdg : 35265}
GLOBAL_POSITION_INT {time_boot_ms : 76945, lat : -353632616, lon : 1491652376, alt : 624090, relative_alt : 40030, vx : 31, vy : 30, vz : -33, hdg : 35204}
GLOBAL_POSITION_INT {time_boot_ms : 77194, lat : -353632603, lon : 1491652390, alt : 624200, relative_alt : 40144, vx : 83, vy : 75, vz : -61, hdg : 35237}
GLOBAL_POSITION_INT {time_boot_ms : 77444, lat : -353632578, lon : 1491652416, alt : 624390, relative_alt : 40330, vx : 135, vy : 120, vz : -90, hdg : 35908}
GLOBAL_POSITION_INT {time_boot_ms : 77695, lat : -353632542, lon : 1491652454, alt : 624640, relative_alt : 40589, vx : 182, vy : 162, vz : -117, hdg : 1360}
GLOBAL_POSITION_INT {time_boot_ms : 77945, lat : -353632497, lon : 1491652503, alt : 624970, relative_alt : 40913, vx : 226, vy : 202, vz : -143, hdg : 3362}
GLOBAL_POSITION_INT {time_boot_ms : 78195, lat : -353632441, lon : 1491652563, alt : 625360, relative_alt : 41302, vx : 270, vy : 241, vz : -168, hdg : 5231}
GLOBAL_POSITION_INT {time_boot_ms : 78445, lat : -353632376, lon : 1491652634, alt : 625810, relative_alt : 41755, vx : 315, vy : 279, vz : -192, hdg : 6302}
GLOBAL_POSITION_INT {time_boot_ms : 78695, lat : -353632300, lon : 1491652715, alt : 626330, relative_alt : 42270, vx : 360, vy : 318, vz : -216, hdg : 6459}
GLOBAL_POSITION_INT {time_boot_ms : 78945, lat : -353632215, lon : 1491652807, alt : 626900, relative_alt : 42846, vx : 405, vy : 357, vz : -239, hdg : 5925}
GLOBAL_POSITION_INT {time_boot_ms : 79194, lat : -353632119, lon : 1491652910, alt : 627520, relative_alt : 43468, vx : 447, vy : 393, vz : -251, hdg : 4978}
GLOBAL_POSITION_INT {time_boot_ms : 79444, lat : -353632016, lon : 1491653021, alt : 628170, relative_alt : 44111, vx : 474, vy : 418, vz : -255, hdg : 3960}
GLOBAL_POSITION_INT {time_boot_ms : 79695, lat : -353631908, lon : 1491653138, alt : 628820, relative_alt : 44762, vx : 487, vy : 433, vz : -253, hdg : 3247}
GLOBAL_POSITION_INT {time_boot_ms : 79945, lat : -353631797, lon : 1491653259, alt : 629460, relative_alt : 45405, vx : 495, vy : 443, vz : -250, hdg : 3024}
GLOBAL_POSITION_INT {time_boot_ms : 80195, lat : -353631685, lon : 1491653382, alt : 630100, relative_alt : 46040, vx : 503, vy : 451, vz : -247, hdg : 3240}
GLOBAL_POSITION_INT {time_boot_ms : 80445, lat : -353631571, lon : 1491653507, alt : 630720, relative_alt : 46669, vx : 512, vy : 456, vz : -245, hdg : 3730}
GLOBAL_POSITION_INT {time_boot_ms : 80695, lat : -353631454, lon : 1491653634, alt : 631350, relative_alt : 47298, vx : 520, vy : 460, vz : -244, hdg : 4271}
GLOBAL_POSITION_INT {time_boot_ms : 80945, lat : -353631335, lon : 1491653761, alt : 631980, relative_alt : 47922, vx : 529, vy : 463, vz : -243, hdg : 4640}
GLOBAL_POSITION_INT {time_boot_ms : 81195, lat : -353631215, lon : 1491653890, alt : 632600, relative_alt : 48546, vx : 537, vy : 466, vz : -243, hdg : 4729}
GLOBAL_POSITION_INT {time_boot_ms : 81444, lat : -353631094, lon : 1491654019, alt : 633230, relative_alt : 49170, vx : 542, vy : 470, vz : -243, hdg : 4564}
GLOBAL_POSITION_INT {time_boot_ms : 81695, lat : -353630971, lon : 1491654150, alt : 633850, relative_alt : 49798, vx : 545, vy : 473, vz : -243, hdg : 4262}
GLOBAL_POSITION_INT {time_boot_ms : 81945, lat : -353630847, lon : 1491654281, alt : 634480, relative_alt : 50423, vx : 546, vy : 477, vz : -243, hdg : 3974}
GLOBAL_POSITION_INT {time_boot_ms : 82195, lat : -353630724, lon : 1491654413, alt : 635100, relative_alt : 51047, vx : 547, vy : 480, vz : -243, hdg : 3807}
GLOBAL_POSITION_INT {time_boot_ms : 82445, lat : -353630601, lon : 1491654546, alt : 635730, relative_alt : 51673, vx : 547, vy : 482, vz : -243, hdg : 3801}
